共计112件道具

玄铁          檀木         丝绸         强化石1          3级生命石（商城）
青云          青云         青云         强化石2（商城）  3级魔法石（商城）
混元          混元         混元         强化石3（商城）  3级防御石（商城）
花宴          花宴         花宴         强化石4（商城）  3级攻击石（商城）
物品喧哗      bnnxz        伢牙神弩     幸运符           神恩福

传送石6      传送石6       传送石12     传送石-2         传送石-3
灵珠         灵珠          灵珠         灵珠             灵珠         
神火         神火          神火         神火             神火         
神铁         神铁          神铁         神铁             神铁         
混色剂       盂婆药剂      凶普碎片     玫瑰             新年红灯笼

流石1        流石2         流石3        流邪符石1        超大经验
流石4        流石5         流石6        流邪符石2        大灵魂药水
流石7        流石8         流石9        流邪符石3        三倍经验丹
八仙         八仙          八仙         八仙             二倍经验丹
八仙         八仙          八仙         八仙             月饼

珍珠         避水珠        龙王令       龙女的眼泪       摇光石
生命丹1      生命丹1       生命丹1      生命丹1          生命丹1    
还童丹       长生丹        还魂丹       属性洗练丹       技能洗练州
年进化丹     年潜力丹      进化大丹     通天令牌         通天赦令
仙女石1      仙女石2       仙女石3      仙女石4          天枢石

昆仑玉1      昆仑玉2       昆仑玉3      昆仑玉4          熔炼石
鲮鲤         仙茅          硫磺         毒丹             玉衡石
守宫         人参

